Manufacturer,CPU Name,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),Weight (kg),Battery,Price (VND)
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,LPDDR5,4800,512,16.0,1920x1200,60,1.9,54.0,25690000
dell,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,8,LPDDR5,4800,512,16.0,1920x1200,60,1.9,54.0,23190000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,120,1.63,41.0,18190000
asus,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,16,LPDDR5,5500,512,15.6,1920x1080,60,1.63,42.0,14490000
dell,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,14.0,1920x1080,60,1.49,41.0,19990000
asus,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,12290000
asus,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,256,14.0,1920x1080,60,1.55,37.0,10990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,16,DDR4,3200,1024,15.6,1920x1080,144,2.2,56.0,25990000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,19990000
asus,Intel Celeron - N4020,Intel,,,1.1,4,DDR4,2400,256,15.6,1366x768,60,1.8,37.0,7890000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,3200,512,16.0,1920x1200,60,1.88,42.0,18990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,20990000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,17990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,1920x1200,60,1.5,50.0,21990000
asus,Intel Core i7 Tiger Lake - 11800H,Intel,7,11,2.3,16,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,22990000
asus,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2933,512,14.0,1920x1080,60,1.4,42.0,11990000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,16,DDR4,3200,512,15.6,1920x1080,144,2.3,48.0,22990000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.7,42.0,22990000
asus,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,16,DDR4,2933,512,15.6,1920x1080,60,1.8,37.0,14990000
asus,Intel Core i7 Raptor Lake - 13700H,Intel,7,13,2.4,16,DDR4,2933,512,15.6,1920x1080,60,1.7,50.0,24490000
asus,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,16,DDR4,3200,512,17.3,1920x1080,144,2.6,48.0,20990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,8,DDR4,3200,512,15.6,1920x1080,144,2.2,56.0,23990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,8,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,20490000
asus,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,16,DDR4,2933,512,14.0,1920x1080,60,1.4,42.0,18490000
asus,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,512,15.6,1920x1080,60,1.8,37.0,11290000
asus,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,27990000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,2880x1800,90,1.4,63.0,29490000
asus,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,DDR4,3200,512,14.0,2880x1800,90,1.4,63.0,22990000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,16,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,24990000
asus,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,16,DDR4,2933,512,15.6,1920x1080,60,1.7,50.0,19990000
asus,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,256,14.0,1920x1200,60,1.5,50.0,16990000
asus,AMD Ryzen 5 - 7520U,AMD,5,7,2.8,8,LPDDR5,5500,512,15.6,1920x1080,60,1.63,42.0,13990000
asus,AMD Ryzen 7 - 4800H,AMD,7,4,2.9,8,DDR4,3200,512,15.6,1920x1080,144,2.1,56.0,22990000
asus,AMD Ryzen 9 - 7945HX,AMD,9,7,2.5,32,DDR5,4800,1024,17.3,2560x1440,240,3.0,90.0,90000000
asus,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,512,14.0,2880x1800,90,1.5,75.0,33990000
asus,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,8,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,25490000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,16,DDR4,3200,512,15.6,1920x1080,144,2.2,90.0,40990000
asus,Intel Core i7 Raptor Lake - 13650HX,Intel,7,13,2.6,16,DDR5,4800,512,16.0,1920x1200,165,2.5,90.0,43990000
asus,Intel Core i9 Raptor Lake - 13980HX,Intel,9,13,2.2,64,DDR5,4800,2048,18.0,2560x1600,240,3.1,90.0,125000000
asus,AMD Ryzen 9 - 7945HX,AMD,9,7,2.5,32,DDR5,4800,1024,16.0,2560x1600,240,2.67,90.0,125000000
asus,Intel Core i9 Raptor Lake - 13980HX,Intel,9,13,2.2,32,DDR5,4800,1024,16.0,2560x1600,240,2.5,90.0,95000000
asus,Intel Core i9 Alder Lake - 12900H,Intel,9,12,2.5,32,DDR5,4800,1024,15.6,2560x1440,240,2.3,90.0,69990000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,LPDDR5,4800,1024,14.0,2880x1800,90,0.99,63.0,49990000
asus,Intel Core i7 Raptor Lake - 13650HX,Intel,7,13,2.6,16,DDR5,4800,1024,16.0,2560x1600,240,2.5,90.0,60990000
asus,AMD Ryzen 7 - 7735HS,AMD,7,7,3.2,16,DDR5,4800,512,14.0,1920x1200,144,1.72,76.0,42990000
asus,AMD Ryzen 9 - 7940HS,AMD,9,7,4.0,8,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,45490000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,32,LPDDR5,5500,1024,13.3,2880x1800,60,1.0,63.0,44990000
asus,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,LPDDR5,5500,512,13.3,2880x1800,60,1.0,63.0,39990000
asus,Intel Core i5 Raptor Lake - 13450HX,Intel,5,13,2.4,8,DDR5,4800,512,16.0,1920x1200,165,2.5,90.0,37990000
asus,Intel Core i7 Alder Lake - 12650H,Intel,7,12,2.3,8,DDR5,4800,512,15.6,1920x1080,144,2.0,76.0,35990000
asus,AMD Ryzen 7 - 7735HS,AMD,7,7,3.2,16,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,34490000
asus,Intel Core Ultra 5 METEOR LAKE - 125H,Intel,,,1.2,16,LPDDR5X,5200,512,14.0,2880x1800,120,1.2,75.0,28990000
asus,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,512,14.0,2880x1800,90,1.39,75.0,31990000
asus,Intel Core i7 Alder Lake - 12700H,Intel,7,12,2.3,16,DDR5,4800,512,15.6,1920x1080,144,2.2,90.0,32990000
asus,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,4800,512,14.0,2880x1800,90,1.5,75.0,29990000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,16,DDR4,3200,512,14.0,2880x1800,90,1.4,63.0,26990000
asus,Intel Core i9 Raptor Lake - 13900H,Intel,9,13,2.6,32,DDR5,4800,1024,16.0,2560x1600,240,2.1,90.0,80990000
acer,Intel Core i5 Raptor Lake - 13420H,Intel,5,13,2.1,16,DDR4,3200,512,15.6,1920x1080,60,1.7,50.0,20490000
asus,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,DDR4,3200,512,14.0,1920x1200,60,1.6,42.0,14990000
acer,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,2400,512,15.6,1920x1080,60,1.7,40.0,15990000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,2400,256,15.6,1920x1080,60,1.7,36.7,13990000
acer,Intel Core i3 Alder Lake chuỗi N - N305,Intel,3,,,8,LPDDR5,4800,256,15.6,1920x1080,60,1.7,40.0,9990000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,2666,512,14.0,1920x1080,60,1.46,48.0,15490000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,2400,512,15.6,1920x1080,60,1.7,36.7,14990000
acer,Intel Core i5 Tiger Lake - 1155G7,Intel,5,11,2.5,8,DDR4,2666,512,15.6,1920x1080,60,1.8,48.0,17990000
acer,Intel Celeron - N5100,Intel,,,1.1,4,DDR4,2400,256,14.0,1366x768,60,1.45,36.0,6990000
acer,Intel Core i3 Raptor Lake - 1315U,Intel,3,13,1.2,8,LPDDR5,4800,512,15.6,1920x1080,60,1.7,50.0,13090000
acer,Intel Pentium - N6000,Intel,,,1.1,4,DDR4,2400,256,14.0,1366x768,60,1.45,36.0,7990000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,16,DDR4,2666,512,14.0,1920x1080,60,1.4,56.0,25990000
acer,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,2.2,57.0,23790000
acer,AMD Ryzen 5 - 5625U,AMD,5,5,2.3,8,DDR4,3200,512,15.6,1920x1080,144,2.1,50.0,21990000
acer,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2400,256,15.6,1920x1080,60,1.7,40.0,13490000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,2666,512,14.0,1920x1080,60,1.4,56.0,22490000
acer,Intel Core i3 Alder Lake - 1215U,Intel,3,12,1.2,8,DDR4,2400,512,15.6,1920x1080,60,1.7,40.0,13990000
acer,Intel Core i5 Alder Lake - 1240P,Intel,5,12,1.7,16,LPDDR4X,4267,512,14.0,2160x1440,60,1.2,56.0,23990000
acer,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,8,DDR4,3200,512,15.6,1920x1080,144,2.1,50.0,21490000
acer,Intel Core i3 Alder Lake chuỗi N - N305,Intel,3,,,8,LPDDR5,5200,512,14.0,1920x1080,60,1.4,40.0,11790000
acer,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,4,DDR4,2400,256,15.6,1920x1080,60,1.7,36.7,11290000
acer,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,2.2,57.5,24990000
acer,Intel Core i5 Raptor Lake - 13420H,Intel,5,13,2.1,8,DDR5,5200,512,15.6,1920x1080,144,2.1,57.0,26990000
acer,Intel Core i5 Alder Lake - 12500H,Intel,5,12,2.5,8,DDR4,3200,512,15.6,1920x1080,144,2.5,57.5,27990000
acer,Intel Core i7 Tiger Lake - 1165G7,Intel,7,11,2.8,16,DDR4,2666,1024,14.0,1920x1080,60,1.4,56.0,29790000
acer,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,16,DDR4,3200,512,15.6,1920x1080,144,2.1,50.0,22990000
acer,Intel Core i7 Raptor Lake - 13700HX,Intel,7,13,2.1,8,DDR5,4800,512,16.0,2560x1600,165,2.6,90.0,38990000
acer,Intel Core i5 Raptor Lake - 13500HX,Intel,5,13,2.5,8,DDR5,4800,512,16.0,2560x1600,165,2.6,90.0,35990000
acer,Intel Core i7 Alder Lake - 12700H,Intel,7,12,2.3,8,DDR4,3200,512,15.6,1920x1080,144,2.5,57.5,31990000
acer,Intel Core i5 Raptor Lake - 13420H,Intel,5,13,2.1,16,DDR5,5200,512,15.6,1920x1080,144,2.1,57.0,23990000
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,16,LPDDR4X,4266,512,14.0,1920x1080,60,1.19,56.0,22990000
acer,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,2400,256,15.6,1920x1080,60,1.7,36.7,
acer,Intel Core i5 Tiger Lake - 1135G7,Intel,5,11,2.4,8,DDR4,3200,1024,14.0,1920x1080,60,1.46,48.0,14990000
acer,Intel Core i9 Raptor Lake - 13900HX,Intel,9,13,3.9,32,DDR5,5600,2048,18.0,2560x1600,240,3.1,90.0,
acer,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,8,DDR5,4800,512,17.3,1920x1080,165,3.0,90.0,
acer,Intel Core i9 Raptor Lake - 13900HX,Intel,9,13,3.9,32,DDR5,5600,2048,16.0,2560x1600,240,2.6,90.0,
acer,Intel Core i7 Raptor Lake - 13700HX,Intel,7,13,2.1,16,DDR5,4800,512,16.0,2560x1600,165,2.6,90.0,
msi,Intel Core i3 Tiger Lake - 1115G4,Intel,3,11,3.0,8,DDR4,3200,512,14.0,1920x1080,60,1.4,39.0,11990000
msi,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,39.3,13990000
msi,AMD Ryzen 5 - 7530U,AMD,5,7,2.0,16,DDR4,3200,512,15.6,1920x1080,60,1.75,39.3,14990000
msi,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,8,DDR4,3200,512,15.6,1920x1080,144,1.86,52.4,22490000
msi,AMD Ryzen 5 - 7535HS,AMD,5,7,3.3,16,DDR5,4800,512,15.6,1920x1080,144,2.25,53.5,18490000
msi,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,8,DDR4,3200,512,15.6,1920x1080,144,1.86,52.4,17990000
msi,Intel Core i7 Tiger Lake - 11800H,Intel,7,11,2.3,8,DDR4,3200,512,15.6,1920x1080,144,1.86,52.4,20490000
msi,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,8,DDR4,3200,512,15.6,1920x1080,144,1.86,52.4,18990000
msi,AMD Ryzen 7 - 7730U,AMD,7,7,2.0,16,DDR4,3200,512,15.6,1920x1080,60,1.75,39.3,16990000
msi,Intel Core i7 Alder Lake - 12650H,Intel,7,12,2.3,8,DDR4,3200,512,15.6,1920x1080,144,2.25,53.5,27490000
msi,Intel Core i5 Alder Lake - 1235U,Intel,5,12,1.3,16,DDR4,3200,512,15.6,1920x1080,60,1.7,39.3,14490000
msi,AMD Ryzen 5 - 7530U,AMD,5,7,2.0,8,DDR4,3200,512,14.0,1920x1080,60,1.4,39.3,13990000
msi,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,1.86,51.0,16490000
msi,Intel Core i7 Alder Lake - 12650H,Intel,7,12,2.3,8,DDR5,4800,512,15.6,1920x1080,144,1.98,53.5,25490000
msi,Intel Core i5 Tiger Lake - 11400H,Intel,5,11,2.7,8,DDR4,3200,512,15.6,1920x1080,144,1.86,52.4,18490000
msi,Intel Core i7 Alder Lake - 12650H,Intel,7,12,2.3,8,DDR5,4800,512,15.6,1920x1080,144,1.98,53.5,30490000
msi,Intel Core i7 Raptor Lake - 13620H,Intel,7,13,2.4,8,DDR5,5200,512,15.6,1920x1080,144,2.25,53.5,27990000
msi,Intel Core i5 Raptor Lake - 13500H,Intel,5,13,2.6,16,LPDDR5,4800,512,14.0,1920x1200,60,1.49,72.0,26990000
msi,Intel Core i7 Raptor Lake - 13620H,Intel,7,13,2.4,16,DDR5,5200,1024,15.6,1920x1080,144,2.25,53.5,31990000
msi,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,4800,1024,13.3,1920x1200,60,0.99,75.0,33990000
msi,Intel Core i7 Raptor Lake - 1355U,Intel,7,13,1.7,16,DDR4,3200,512,14.0,1920x1080,60,1.4,39.3,21490000
msi,Intel Core i5 Alder Lake - 12450H,Intel,5,12,2.0,8,DDR5,4800,512,15.6,1920x1080,144,1.98,53.5,18990000
msi,Intel Core i7 Alder Lake - 1255U,Intel,7,12,1.7,16,DDR4,3200,512,15.6,1920x1080,60,1.7,39.3,19490000
lg,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,6000,1024,17.0,2560x1600,60,1.35,80.0,50990000
msi,Intel Core i5 Raptor Lake - 1335U,Intel,5,13,1.3,8,DDR4,3200,512,15.6,1920x1080,60,1.7,39.3,18490000
lg,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,6000,512,16.0,2560x1600,60,1.999,80.0,46990000
lg,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,512,16.0,3200x2000,120,1.25,80.0,43990000
lg,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,512,15.6,1920x1080,60,0.99,60.0,42990000
lg,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,512,14.0,2880x1800,90,0.999,72.0,38990000
lg,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,512,14.0,1920x1200,60,1.25,72.0,37990000
lg,Intel Core i7 Raptor Lake - 1360P,Intel,7,13,2.2,16,LPDDR5,6000,512,14.0,1920x1200,60,0.999,72.0,38990000
lg,Intel Core i5 Raptor Lake - 1340P,Intel,5,13,1.9,16,LPDDR5,6000,256,14.0,1920x1200,60,0.999,72.0,32490000
